Date,Day,Cases,NewCases,D%Cases,ActiveCases,Deaths,NewDeaths,D%Deaths,MortalityRate,Tests,        NewTests,D%Tests,Recovered,NewRecovered,D%Recovered,Hospitalized,NewHospitalized,D%Hospitalized
2020-05-13,71.0,76306.0,4247.0,1.0589378148461677,49813.0,2169.0,112.0,1.0544482255712202,0.028425025555002228,553302.0,21133.0,1.0397110692280085,24324.0,1000.0,1.0428742925741725,6979.0,117.0,1.0170504226173127
2020-05-14,72.0,80604.0,4298.0,1.0563258459360994,53186.0,2267.0,98.0,1.0451821115721531,0.0281251550791524,587292.0,33990.0,1.0614311894769946,25151.0,827.0,1.0339993422134517,6941.0,-38.0,-1.0054747154588677
2020-05-15,73.0,84495.0,3891.0,1.0482730385588805,54956.0,2392.0,125.0,1.055138950154389,0.028309367418190425,605383.0,18091.0,1.0308040974506718,27147.0,1996.0,1.0793606616039124,7085.0,144.0,1.0207462901599194
2020-05-16,74.0,88541.0,4046.0,1.0478844902065212,57746.0,2523.0,131.0,1.0547658862876255,0.02849527337617601,630482.0,25099.0,1.0414597040220819,28272.0,1125.0,1.0414410432091943,7275.0,190.0,1.0268172194777698
2020-05-17,75.0,92273.0,3732.0,1.0421499644232615,61004.0,2648.0,125.0,1.0495441934205312,0.028697452125757264,650613.0,20131.0,1.031929539622067,28621.0,349.0,1.0123443689869835,7408.0,133.0,1.0182817869415808
2020-05-18,76.0,94933.0,2660.0,1.0288275010024601,61838.0,2789.0,141.0,1.0532477341389728,0.029378614391202217,661132.0,10519.0,1.0161678294162582,30306.0,1685.0,1.0588728555955418,7509.0,101.0,1.013633909287257
2020-05-19,77.0,99483.0,4550.0,1.0479285390749264,60045.0,2914.0,125.0,1.0448189315166727,0.029291436727883157,679582.0,18450.0,1.027906681267886,36524.0,6218.0,1.20517389295849,7526.0,17.0,1.0022639499267545
2020-05-20,78.0,104020.0,4537.0,1.0456057818923836,59028.0,3024.0,110.0,1.0377487989018532,0.029071332436069987,715423.0,35841.0,1.0527397723894982,41968.0,5444.0,1.149052677691381,7533.0,7.0,1.0009301089556206
2020-05-21,79.0,108769.0,4749.0,1.0456546817919632,62024.0,3148.0,124.0,1.041005291005291,0.028942069891237394,736500.0,21077.0,1.029460892367173,43597.0,1629.0,1.038815287838353,7455.0,-78.0,-1.0104627766599596
2020-05-22,80.0,111698.0,2929.0,1.0269286285614467,63606.0,3244.0,96.0,1.0304955527318933,0.029042597002632096,750526.0,14026.0,1.0190441276306856,44848.0,1251.0,1.0286946349519461,7545.0,90.0,1.012072434607646
2020-05-23,81.0,115745.0,4047.0,1.036231624559079,64457.0,3373.0,129.0,1.0397657213316893,0.029141647587368785,788341.0,37815.0,1.0503846635559595,47915.0,3067.0,1.0683865501248662,7674.0,129.0,1.0170974155069583
2020-05-24,82.0,119959.0,4214.0,1.0364076201995767,66708.0,3456.0,83.0,1.0246071746219982,0.028809843363149075,820967.0,32626.0,1.0413856440296776,49795.0,1880.0,1.0392361473442555,7779.0,105.0,1.0136825645035183
2020-05-25,83.0,123979.0,4020.0,1.0335114497453297,69401.0,3629.0,173.0,1.0500578703703705,0.0292710862323458,840922.0,19955.0,1.0243067017310075,50949.0,1154.0,1.0231750175720453,8097.0,318.0,1.0408792903972233
2020-05-26,84.0,129751.0,5772.0,1.0465562716266466,73057.0,3788.0,159.0,1.043813722788647,0.02919438000477838,875721.0,34799.0,1.0413819593255973,52906.0,1957.0,1.0384109599795874,8207.0,110.0,1.0135852784982091
2020-05-27,85.0,135905.0,6154.0,1.0474293069032223,75753.0,3983.0,195.0,1.0514783526927138,0.029307236672675766,905278.0,29557.0,1.0337516172388237,56169.0,3263.0,1.0616754243375042,8267.0,60.0,1.0073108322164006
2020-05-28,86.0,141779.0,5874.0,1.0432213678672602,78238.0,4099.0,116.0,1.0291237760482048,0.028911192771849146,928797.0,23519.0,1.025979864748729,59442.0,3273.0,1.0582705762965336,8395.0,128.0,1.0154832466432806
2020-05-29,87.0,148285.0,6506.0,1.0458883191445842,81264.0,4230.0,131.0,1.0319590143937545,0.028526148969889066,963617.0,34820.0,1.0374893545091124,62791.0,3349.0,1.0563406345681505,8433.0,38.0,1.004526503871352
2020-05-30,88.0,155671.0,7386.0,1.049809488485012,84853.0,4371.0,141.0,1.0333333333333334,0.02807844749503761,1012708.0,49091.0,1.0509445142624092,66447.0,3656.0,1.0582249048430508,8465.0,32.0,1.0037946163879996
2020-05-31,89.0,164476.0,8805.0,1.056561594645117,92762.0,4506.0,135.0,1.030885380919698,0.027396094262992776,1058874.0,46166.0,1.045586684414461,67208.0,761.0,1.0114527367676494,8882.0,417.0,1.049261665682221
2020-06-01,90.0,170039.0,5563.0,1.033822563778302,96898.0,4634.0,128.0,1.0284065690190856,0.027252571468898312,1076659.0,17785.0,1.0167961438282553,68507.0,1299.0,1.0193280561837876,8868.0,-14.0,-1.001578709968426
2020-06-02,91.0,174884.0,4845.0,1.02849346326431,100860.0,4767.0,133.0,1.0287009063444108,0.02725806820521031,1092646.0,15987.0,1.0148487125450119,69257.0,750.0,1.0109477863575984,8930.0,62.0,1.0069914298601714
2020-06-03,92.0,178914.0,4030.0,1.0230438462066285,101701.0,4894.0,127.0,1.026641493601846,0.027353924231753802,1115615.0,22969.0,1.0210214470194372,72319.0,3062.0,1.0442121374012736,10101.0,1171.0,1.1311310190369541
2020-06-04,93.0,183198.0,4284.0,1.0239444649384621,101939.0,5031.0,137.0,1.0279934613812831,0.02746209019749124,1135831.0,20216.0,1.0181209467423797,76228.0,3909.0,1.0540521854561042,9063.0,-1038.0,-1.1145316120489903
2020-06-05,94.0,187400.0,4202.0,1.0229369316258912,103024.0,5162.0,131.0,1.026038560922282,0.02754535752401281,1154468.0,18637.0,1.0164082508753502,79214.0,2986.0,1.039171957810778,9198.0,135.0,1.0148957298907646
2020-06-06,95.0,191758.0,4358.0,1.0232550693703308,103726.0,5301.0,139.0,1.026927547462224,0.027644218233398347,1173003.0,18535.0,1.0160550140844093,82731.0,3517.0,1.0443987173984397,9500.0,302.0,1.0328332246140466
2020-06-07,96.0,196515.0,4757.0,1.0248073092126535,104831.0,5465.0,164.0,1.0309375589511414,0.02780958196575325,1191956.0,18953.0,1.0161576739360427,86219.0,3488.0,1.0421607378129116,9583.0,83.0,1.0087368421052632
2020-06-08,97.0,199696.0,3181.0,1.0161870595119966,104569.0,5571.0,106.0,1.0193961573650503,0.027897404054162328,1203985.0,12029.0,1.0100918154696985,89556.0,3337.0,1.0387037659912548,9661.0,78.0,1.008139413544819
2020-06-09,98.0,203736.0,4040.0,1.0202307507411266,105069.0,5738.0,167.0,1.0299766648716568,0.028163898378293476,1227691.0,23706.0,1.019689614073265,92929.0,3373.0,1.0376635847961053,9903.0,242.0,1.0250491667529242
2020-06-10,99.0,208823.0,5087.0,1.024968586798602,104889.0,5903.0,165.0,1.028755663994423,0.028267958989191804,1255756.0,28065.0,1.022859986755625,98031.0,5102.0,1.0549021295827998,9916.0,13.0,1.0013127335150964
2020-06-11,100.0,214788.0,5965.0,1.0285648611503522,106250.0,6109.0,206.0,1.0348975097408097,0.02844199862189694,1282478.0,26722.0,1.0212796116443004,102429.0,4398.0,1.0448633595495302,10026.0,110.0,1.0110931827349738
